id,name,state,grade,score,size_tier,national_percentile,snapshot_date,days_until_expiry,expiry_status,mdb_id,validator_version,feed_url,top_fix,scorecard_url
tahoe-area-regional-transit-tart-north-lake-tahoe-express,Placer County,,C,75.8,medium,71,2026-07-04,65,current,,8.0.1,https://data.trilliumtransit.com/gtfs/laketahoe-ca-us/laketahoe-ca-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/tahoe-area-regional-transit-tart-north-lake-tahoe-express/
tahoe-area-regional-transit-tart-north-lake-tahoe-express-94,Placer County,California,C,75.8,medium,71,2026-07-04,65,current,94,8.0.1,http://data.trilliumtransit.com/gtfs/laketahoe-ca-us/laketahoe-ca-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/tahoe-area-regional-transit-tart-north-lake-tahoe-express-94/
tahoe-transportation-district,Tahoe Transportation District,Nevada,D,69.0,medium,60,2026-07-04,26843,current,897,8.0.1,https://data.trilliumtransit.com/gtfs/tahoe-ca-us/tahoe-ca-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/tahoe-transportation-district/
tahoe-transportation-district-897,Tahoe Transportation District,Nevada,D,69.0,medium,60,2026-07-04,26843,current,897,8.0.1,http://data.trilliumtransit.com/gtfs/tahoe-ca-us/tahoe-ca-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/tahoe-transportation-district-897/
tar-river-transit,Tar River Transit,North Carolina,C,72.6,medium,64,2026-07-04,28,expiring_soon,472,8.0.1,https://data.trilliumtransit.com/gtfs/tarriver-nc-us/tarriver-nc-us.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/tar-river-transit/
tar-river-transit-472,Tar River Transit,North Carolina,C,72.6,medium,64,2026-07-04,28,expiring_soon,472,8.0.1,http://data.trilliumtransit.com/gtfs/tarriver-nc-us/tarriver-nc-us.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/tar-river-transit-472/
tehama-rural-area-express-trax-susanville-indian-rancheria-public-transportation-program,"Tehama Rural Area Express (TRAX), Susanville Indian Rancheria Public Transportation Program",,F,51.4,medium,37,2026-07-04,-64,lapsed,,8.0.1,https://data.trilliumtransit.com/gtfs/tehama-ca-us/tehama-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/tehama-rural-area-express-trax-susanville-indian-rancheria-public-transportation-program/
tehama-rural-area-express-trax-susanville-indian-rancheria-public-transportation-program-116,"Tehama Rural Area Express (TRAX), Susanville Indian Rancheria Public Transportation Program",California,F,51.4,medium,37,2026-07-04,-64,lapsed,116,8.0.1,http://data.trilliumtransit.com/gtfs/tehama-ca-us/tehama-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/tehama-rural-area-express-trax-susanville-indian-rancheria-public-transportation-program-116/
teller-senior-coalition-transit-tsc-transit,Teller Senior Coalition Transit (TSC Transit),Colorado,B,86.6,small,95,2026-07-04,181,current,827,8.0.1,https://data.trilliumtransit.com/gtfs/tsctransit-co-us/tsctransit-co-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/teller-senior-coalition-transit-tsc-transit/
teller-senior-coalition-transit-tsc-transit-827,Teller Senior Coalition Transit (TSC Transit),Colorado,B,86.6,small,95,2026-07-04,181,current,827,8.0.1,http://data.trilliumtransit.com/gtfs/tsctransit-co-us/tsctransit-co-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/teller-senior-coalition-transit-tsc-transit-827/
terre-haute-transit-utility,Terre Haute Transit Utility,Indiana,F,52.0,medium,39,2026-07-04,-368,stale,387,8.0.1,https://data.trilliumtransit.com/gtfs/terrehautetransit-in-us/terrehautetransit-in-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/terre-haute-transit-utility/
terre-haute-transit-utility-387,Terre Haute Transit Utility,Indiana,F,52.0,medium,39,2026-07-04,-368,stale,387,8.0.1,http://data.trilliumtransit.com/gtfs/terrehautetransit-in-us/terrehautetransit-in-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/terre-haute-transit-utility-387/
the-comet,The Comet,South Carolina,F,36.3,large,9,2026-07-04,-1576,stale,1197,8.0.1,https://data.trilliumtransit.com/gtfs/thecomet-sc-us/thecomet-sc-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/the-comet/
the-comet-1197,The Comet,South Carolina,F,36.3,large,9,2026-07-04,-1576,stale,1197,8.0.1,http://data.trilliumtransit.com/gtfs/thecomet-sc-us/thecomet-sc-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/the-comet-1197/
the-comet-2209,The Comet,South Carolina,B,80.2,large,81,2026-07-04,56,current,2209,8.0.1,https://comet.mapstrat.com/current/google_transit.zip,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",https://gtfsscorecard.org/agency/the-comet-2209/
the-current,The Current,Vermont,F,39.5,medium,13,2026-07-04,-1683,stale,428,8.0.1,https://data.trilliumtransit.com/gtfs/crtransit-vt-us/crtransit-vt-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/the-current/
the-current-428,The Current,Vermont,F,39.5,medium,13,2026-07-04,-1683,stale,428,8.0.1,http://data.trilliumtransit.com/gtfs/crtransit-vt-us/crtransit-vt-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/the-current-428/
the-jo,The JO,Kansas,F,40.9,small,15,2026-07-04,-2591,stale,1160,8.0.1,https://transitfeeds.com/p/the-jo/632/latest/download,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/the-jo/
the-jule,The Jule,Iowa,F,41.7,medium,16,2026-07-04,-2591,stale,207,8.0.1,http://www.cityofdubuque.org/gtfs.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/the-jule/
the-jule-2083,The Jule,Iowa,C,76.0,medium,72,2026-07-04,453,current,2083,8.0.1,https://myride.cityofdubuque.org/gtfs/google_transit.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/the-jule-2083/
