id,name,state,grade,score,size_tier,national_percentile,snapshot_date,days_until_expiry,expiry_status,mdb_id,validator_version,feed_url,top_fix,scorecard_url
10-15-transit,10-15 Transit,Iowa,C,79.0,medium,78,2026-07-04,59,current,195,8.0.1,https://data.trilliumtransit.com/gtfs/10-15transit-ia-us/10-15transit-ia-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/10-15-transit/
10-15-transit-195,10-15 Transit,Iowa,C,79.0,medium,78,2026-07-04,59,current,195,8.0.1,http://data.trilliumtransit.com/gtfs/10-15transit-ia-us/10-15transit-ia-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/10-15-transit-195/
128-business-council,128 Business Council,Massachusetts,F,39.1,small,12,2026-07-04,-2741,stale,440,8.0.1,https://data.trilliumtransit.com/gtfs/route128corridor-ma-us/route128corridor-ma-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/128-business-council/
128-business-council-440,128 Business Council,Massachusetts,F,39.1,small,12,2026-07-04,-2741,stale,440,8.0.1,http://data.trilliumtransit.com/gtfs/route128corridor-ma-us/route128corridor-ma-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/128-business-council-440/
81-connection-citygo-kanconnect,"81 Connection, CityGo, KanConnect",Kansas,F,50.1,medium,34,2026-07-04,-916,stale,1867,8.0.1,https://salinacitygo.com/wp-content/uploads/2022/11/export-2022-11-30T10-18-07.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/81-connection-citygo-kanconnect/
abq-ride,ABQ RIDE,New Mexico,D,63.2,large,54,2026-07-04,62,current,166,8.0.1,https://data.cabq.gov/transit/gtfs/google_transit.zip,Review the rule documentation for 'equal_shape_distance_diff_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/abq-ride/
academy-bus,Academy Bus,New York,F,42.3,medium,16,2026-07-04,-1179,stale,209,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/Academy_Express_-_Staten_Island.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/academy-bus/
access-allegany,Access Allegany,New York,F,42.0,small,16,2026-07-04,-185,lapsed,531,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/Access_Allegany.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/access-allegany/
adams-county,Flex,Colorado,D,66.9,small,58,2026-07-04,28,expiring_soon,2156,8.0.1,https://data.trilliumtransit.com/gtfs/adamscounty-co-us/adamscounty-co-us--flex-v2.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/adams-county/
addison-county-transit-actr,Addison County Transit (ACTR),Vermont,F,37.8,medium,11,2026-07-04,-2376,stale,543,8.0.1,https://data.trilliumtransit.com/gtfs/addisoncounty-vt-us/addisoncounty-vt-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/addison-county-transit-actr/
addison-county-transit-actr-543,Addison County Transit (ACTR),Vermont,F,37.8,medium,11,2026-07-04,-2376,stale,543,8.0.1,http://data.trilliumtransit.com/gtfs/addisoncounty-vt-us/addisoncounty-vt-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/addison-county-transit-actr-543/
adirondack-trailways-adp,Adirondack Trailways ADP,New York,F,45.1,small,22,2026-07-04,1641,current,823,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/Trailways-ADP.zip,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/adirondack-trailways-adp/
adirondack-trailways-nyp,Adirondack Trailways NYP,New York,F,42.5,small,17,2026-07-04,1641,current,824,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/Trailways-NYP.zip,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/adirondack-trailways-nyp/
adirondack-trailways-pine-hill-trailways,Adirondack Trailways Pine Hill Trailways,New York,F,2.3,small,0,2026-07-04,-1646,stale,826,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/Trailways-PHK.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/adirondack-trailways-pine-hill-trailways/
advance-transit,Advance Transit,Vermont,C,74.3,medium,67,2026-07-04,150,current,631,8.0.1,https://data.trilliumtransit.com/gtfs/advancetransit-vt-us/advancetransit-vt-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/advance-transit/
advance-transit-631,Advance Transit,Vermont,C,74.3,medium,67,2026-07-04,150,current,631,8.0.1,http://data.trilliumtransit.com/gtfs/advancetransit-vt-us/advancetransit-vt-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/advance-transit-631/
advance-transit-at,Advance Transit (AT),New Hampshire,F,42.3,medium,16,2026-07-04,-1200,stale,451,8.0.1,http://whereismybus.advancetransit.com/GTFS/feed.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/advance-transit-at/
airport-valet-express,Airport Valet Express,California,F,44.5,small,20,2026-07-04,-2194,stale,27,8.0.1,https://data.trilliumtransit.com/gtfs/airportvaletexpress-ca-us/airportvaletexpress-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/airport-valet-express/
airport-valet-express-27,Airport Valet Express,California,F,44.5,small,20,2026-07-04,-2194,stale,27,8.0.1,http://data.trilliumtransit.com/gtfs/airportvaletexpress-ca-us/airportvaletexpress-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/airport-valet-express-27/
akron-metro-regional-transit-authority-metro,Akron Metro Regional Transit Authority (METRO),Ohio,F,33.4,large,7,2026-07-04,-1267,stale,411,8.0.1,https://www.akronmetro.org/Data/Sites/2/gtfs-data/akronmetrogtfs.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/akron-metro-regional-transit-authority-metro/
akron-metro-regional-transit-authority-metro-2071,Akron Metro Regional Transit Authority (METRO),Ohio,B,83.4,large,90,2026-07-04,49,current,2071,8.0.1,https://www.yourmetrobus.org/Data/Sites/2/gtfs-data/metro_rta_gtfs.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/akron-metro-regional-transit-authority-metro-2071/
alameda-contra-costa-transit-district-ac-transit,Alameda-Contra Costa Transit District (AC Transit),California,F,52.2,large,39,2026-07-04,-854,stale,1244,8.0.1,https://transitfeeds.com/p/ac-transit/1269/latest/download,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/alameda-contra-costa-transit-district-ac-transit/
albany-transit-system,Albany Transit System,Georgia,F,33.6,medium,8,2026-07-04,-734,stale,2146,8.0.1,https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/11834/ats_albany_ga_us(2).zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/albany-transit-system/
alcatraz-cruises-hornblower-angel-island-tiburon-ferry-blue-gold-fleet,"Alcatraz Cruises - Hornblower, Angel Island Tiburon Ferry, Blue & Gold Fleet",California,F,46.7,small,26,2026-07-04,-1738,stale,595,8.0.1,https://data.trilliumtransit.com/gtfs/bayareaferries-ca-us/bayareaferries-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/alcatraz-cruises-hornblower-angel-island-tiburon-ferry-blue-gold-fleet/
alcatraz-cruises-hornblower-angel-island-tiburon-ferry-blue-gold-fleet-595,"Alcatraz Cruises - Hornblower, Angel Island Tiburon Ferry, Blue & Gold Fleet",California,F,46.7,small,26,2026-07-04,-1738,stale,595,8.0.1,http://data.trilliumtransit.com/gtfs/bayareaferries-ca-us/bayareaferries-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/alcatraz-cruises-hornblower-angel-island-tiburon-ferry-blue-gold-fleet-595/
alexandria-dot,City of Alexandria,,C,75.5,small,71,2026-07-04,150,current,2936,8.0.1,https://data.trilliumtransit.com/gtfs/cityofalexandria-va-us/cityofalexandria-va-us--flex-v2.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/alexandria-dot/
alexandria-transit-company-dash,Alexandria Transit Company (DASH),Virginia,C,73.5,medium,66,2026-07-04,58,current,482,8.0.1,http://dashbus.com/google_transit.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/alexandria-transit-company-dash/
alhambra-community-transit,Alhambra Community Transit,,F,47.6,small,29,2026-07-04,-1646,stale,,8.0.1,https://data.trilliumtransit.com/gtfs/alhambra-ca-us/alhambra-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/alhambra-community-transit/
alhambra-community-transit-211,Alhambra Community Transit,California,F,47.6,small,29,2026-07-04,-1646,stale,211,8.0.1,http://data.trilliumtransit.com/gtfs/alhambra-ca-us/alhambra-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/alhambra-community-transit-211/
all-points-transit,All Points Transit,Colorado,D,64.1,medium,54,2026-07-04,28,expiring_soon,212,8.0.1,https://data.trilliumtransit.com/gtfs/allpointstransit-co-us/allpointstransit-co-us.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/all-points-transit/
all-points-transit-2039,Flex v2 included,Colorado,D,62.3,medium,53,2026-07-04,28,expiring_soon,2039,8.0.1,https://data.trilliumtransit.com/gtfs/allpointstransit-co-us/allpointstransit-co-us--flex-v2.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/all-points-transit-2039/
all-points-transit-212,All Points Transit,Colorado,D,64.1,medium,54,2026-07-04,28,expiring_soon,212,8.0.1,http://data.trilliumtransit.com/gtfs/allpointstransit-co-us/allpointstransit-co-us.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/all-points-transit-212/
allegany-county-transit,Allegany County Transit,Maryland,F,25.1,medium,3,2026-07-04,-2165,stale,408,8.0.1,https://github.com/mobilityequity/maryland-local-gtfs/raw/master/Allegany_GTFS.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/allegany-county-transit/
allen-county-regional-transit-authority,Allen County Regional Transit Authority,Ohio,C,79.0,medium,78,2026-07-04,150,current,210,8.0.1,https://data.trilliumtransit.com/gtfs/acrta-oh-us/acrta-oh-us.zip,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",https://gtfsscorecard.org/agency/allen-county-regional-transit-authority/
altamont-corridor-express,Altamont Corridor Express,California,F,46.8,small,27,2026-07-04,-550,stale,1133,8.0.1,https://transitfeeds.com/p/altamont-corridor-express/823/latest/download,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/altamont-corridor-express/
altavista-community-transit-system,Altavista Community Transit System,Virginia,B,80.2,small,81,2026-07-04,88,current,882,8.0.1,https://data.trilliumtransit.com/gtfs/altavista-va-us/altavista-va-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/altavista-community-transit-system/
altavista-community-transit-system-882,Altavista Community Transit System,Virginia,B,80.2,small,81,2026-07-04,88,current,882,8.0.1,http://data.trilliumtransit.com/gtfs/altavista-va-us/altavista-va-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/altavista-community-transit-system-882/
amador-transit,Amador Transit,,B,80.9,small,83,2026-07-04,59,current,,8.0.1,https://data.trilliumtransit.com/gtfs/amador-ca-us/amador-ca-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/amador-transit/
amador-transit-92,Amador Transit,California,B,80.9,small,83,2026-07-04,59,current,92,8.0.1,http://data.trilliumtransit.com/gtfs/amador-ca-us/amador-ca-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/amador-transit-92/
amarillo-city-transit,Amarillo City Transit,Texas,F,50.2,medium,35,2026-07-04,-1646,stale,213,8.0.1,https://code.amarillo.gov/gtfs/gtfs.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/amarillo-city-transit/
amtrak,Amtrak,,F,43.0,medium,18,2026-07-04,7,expiring_soon,11,8.0.1,https://content.amtrak.com/content/gtfs/GTFS.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/amtrak/
amtrak-san-joaquins,Amtrak San Joaquins,,F,52.6,small,40,2026-07-04,-4,lapsed,,8.0.1,https://data.trilliumtransit.com/gtfs/sanjoaquins-ca-us/sanjoaquins-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/amtrak-san-joaquins/
amtrak-vermonter,Amtrak Vermonter,,B,80.1,small,80,2026-07-04,149,current,2297,8.0.1,https://data.trilliumtransit.com/gtfs/amtrakvermonter-vt-us/amtrakvermonter-vt-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/amtrak-vermonter/
anaheim-resort-transportation-art,Anaheim Resort Transportation (ART),California,F,42.6,small,17,2026-07-04,,unknown,100,8.0.1,https://art.tripshot.com/v1/gtfs.zip?regionId=CA558DDC-D7F2-4B48-9CAC-DEEA1134F820,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,https://gtfsscorecard.org/agency/anaheim-resort-transportation-art/
anchorage-people-mover,Anchorage People Mover,Alaska,D,65.8,medium,56,2026-07-04,328,current,225,8.0.1,http://gtfs.muni.org/People_Mover.gtfs.zip,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,https://gtfsscorecard.org/agency/anchorage-people-mover/
ann-arbor-area-transportation-authority-theride,Ann Arbor Area Transportation Authority (TheRide),Michigan,C,72.2,large,64,2026-07-04,49,current,415,8.0.1,https://www.theride.org/sites/default/files/google/google_transit.zip,"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",https://gtfsscorecard.org/agency/ann-arbor-area-transportation-authority-theride/
annapolis-transit,Annapolis Transit,Maryland,F,31.2,medium,6,2026-07-04,-1798,stale,491,8.0.1,https://github.com/mobilityequity/maryland-local-gtfs/raw/master/Annapolis_GTFS.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/annapolis-transit/
annapolis-transit-2285,Annapolis Transit,Maryland,A,93.6,medium,98,2026-07-04,88,current,2285,8.0.1,https://www.arcgis.com/sharing/rest/content/items/c307923d57ab4871aff79491b4a1bfd3/data,"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",https://gtfsscorecard.org/agency/annapolis-transit-2285/
antelope-valley-transit-authority-avta,Antelope Valley Transit Authority (AVTA),California,F,39.2,medium,13,2026-07-04,-1798,stale,214,8.0.1,https://www.avta.com/userfiles/files/google_transit.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/antelope-valley-transit-authority-avta/
arcadia-transit,Arcadia Transit,,F,44.7,small,21,2026-07-04,-1646,stale,,8.0.1,https://data.trilliumtransit.com/gtfs/arcadia-ca-us/arcadia-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/arcadia-transit/
arcadia-transit-215,Arcadia Transit,California,F,44.7,small,21,2026-07-04,-1646,stale,215,8.0.1,http://data.trilliumtransit.com/gtfs/arcadia-ca-us/arcadia-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/arcadia-transit-215/
arcadia-transit-2243,Arcadia Transit,California,F,59.3,small,49,2026-07-04,30,expiring_soon,2243,8.0.1,https://passio3.com/ArcadiaCity/passioTransit/gtfs/google_transit.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/arcadia-transit-2243/
areawide-community-transportation-system,Areawide Community Transportation System,Alabama,F,57.2,medium,47,2026-07-04,-277,lapsed,2211,8.0.1,https://www.earpdc.org/wp-content/uploads/static/ACTS_GTFS_Current.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/areawide-community-transportation-system/
arlington-transit,Arlington Transit,Virginia,C,71.1,medium,63,2026-07-04,331,current,485,8.0.1,https://www.arlingtontransit.com/shared/content/gtfs/art/google_transit.zip,Check the service alerts endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,https://gtfsscorecard.org/agency/arlington-transit/
arlington-transit-2434,Flex,Virginia,C,75.1,small,69,2026-07-04,59,current,2434,8.0.1,https://data.trilliumtransit.com/gtfs/arlington-va-us/arlington-va-us--flex-v2.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/arlington-transit-2434/
arvin-transit,Arvin Transit,,F,42.3,small,16,2026-07-04,-1646,stale,,8.0.1,https://data.trilliumtransit.com/gtfs/arvin-ca-us/arvin-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/arvin-transit/
arvin-transit-216,Arvin Transit,California,F,42.3,small,16,2026-07-04,-1646,stale,216,8.0.1,http://data.trilliumtransit.com/gtfs/arvin-ca-us/arvin-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/arvin-transit-216/
asheville-rides-transit,Asheville Rides Transit,North Carolina,F,46.8,medium,27,2026-07-04,-4,lapsed,903,8.0.1,https://data.trilliumtransit.com/gtfs/asheville-nc-us/asheville-nc-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/asheville-rides-transit/
asheville-rides-transit-903,Asheville Rides Transit,North Carolina,F,46.8,medium,27,2026-07-04,-4,lapsed,903,8.0.1,http://data.trilliumtransit.com/gtfs/asheville-nc-us/asheville-nc-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/asheville-rides-transit-903/
astoria-riverfront-trolley,Astoria Riverfront Trolley,Oregon,B,84.7,small,92,2026-07-04,120,current,1254,8.0.1,https://oregon-gtfs.trilliumtransit.com/gtfs_data/astoria-or-us/astoria-or-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/astoria-riverfront-trolley/
athens-public-transit,Athens Public Transit,Ohio,F,50.3,medium,35,2026-07-04,-3107,stale,4,8.0.1,https://transitfeeds.com/p/athens-public-transit/298/latest/download,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/athens-public-transit/
athens-public-transit-1973,Athens Public Transit,Ohio,F,43.3,medium,18,2026-07-04,-916,stale,1973,8.0.1,https://hosted-gtfs-feeds.s3.amazonaws.com/HAPCAP/gtfs.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/athens-public-transit-1973/
atlanta-streetcar,Atlanta Streetcar,Georgia,F,55.7,small,44,2026-07-04,-3107,stale,356,8.0.1,http://documents.atlantaregional.com/transitdata/gtfs_ASC.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/atlanta-streetcar/
atlantic-regional-commission,Atlantic Station Shuttle (FREE RIDE),Georgia,F,39.8,small,14,2026-07-04,-4568,stale,357,8.0.1,http://documents.atlantaregional.com/transitdata/gtfs_Atlantic.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/atlantic-regional-commission/
atomic-city-transit,Atomic City Transit,New Mexico,B,84.4,medium,92,2026-07-04,180,current,1240,8.0.1,https://gtfs.remix.com/act_los_alamos_nm_us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/atomic-city-transit/
auburn-transit,Auburn Transit,,F,17.5,small,1,2026-07-04,-1372,stale,,8.0.1,https://data.trilliumtransit.com/gtfs/auburntransit-ca-us/auburntransit-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/auburn-transit/
auburn-transit-217,Auburn Transit,California,F,17.5,small,1,2026-07-04,-1372,stale,217,8.0.1,http://data.trilliumtransit.com/gtfs/auburntransit-ca-us/auburntransit-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/auburn-transit-217/
auburn-transit-2275,Auburn Transit,California,D,63.2,small,54,2026-07-04,1641,current,2275,8.0.1,https://www.auburn.ca.gov/DocumentCenter/View/3431,Review the rule documentation for 'missing_required_field' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/auburn-transit-2275/
avalon-transit,Avalon Transit,,F,56.4,small,45,2026-07-04,-825,stale,,8.0.1,https://data.trilliumtransit.com/gtfs/avalon-ca-us/avalon-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/avalon-transit/
avalon-transit-12,Avalon Transit,California,F,56.4,small,45,2026-07-04,-825,stale,12,8.0.1,http://data.trilliumtransit.com/gtfs/avalon-ca-us/avalon-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/avalon-transit-12/
avon-transit,Avon Transit,Colorado,F,49.4,small,33,2026-07-04,-447,stale,218,8.0.1,https://data.trilliumtransit.com/gtfs/avon-co-us/avon-co-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/avon-transit/
avon-transit-2040,Flex v2 included,Colorado,C,78.9,small,78,2026-07-04,59,current,2040,8.0.1,https://data.trilliumtransit.com/gtfs/avon-co-us/avon-co-us--flex-v2.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/avon-transit-2040/
avon-transit-218,Avon Transit,Colorado,F,49.4,small,33,2026-07-04,-447,stale,218,8.0.1,http://data.trilliumtransit.com/gtfs/avon-co-us/avon-co-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/avon-transit-218/
avon-transit-2433,Avon Transit,Colorado,B,88.3,small,96,2026-07-04,144,current,2433,8.0.1,https://www.avon.org/DocumentCenter/View/25051/TownOfAvon_gtfs,Populate trip_headsign to match what the bus displays.,https://gtfsscorecard.org/agency/avon-transit-2433/
baca-area-transportation,Baca Area Transportation,Colorado,C,73.8,small,67,2026-07-04,150,current,1087,8.0.1,https://data.trilliumtransit.com/gtfs/bacacounty-co-us/bacacounty-co-us--flex-v2.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/baca-area-transportation/
baldwin-park-transit,Baldwin Park Transit,,F,39.1,medium,12,2026-07-04,-1646,stale,,8.0.1,https://data.trilliumtransit.com/gtfs/baldwinpark-ca-us/baldwinpark-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/baldwin-park-transit/
baldwin-park-transit-219,Baldwin Park Transit,California,F,39.1,medium,12,2026-07-04,-1646,stale,219,8.0.1,http://data.trilliumtransit.com/gtfs/baldwinpark-ca-us/baldwinpark-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/baldwin-park-transit-219/
barrie-transit,Barrie Transit (Ontario),,C,72.3,medium,64,2026-07-04,119,current,3,8.0.1,http://www.myridebarrie.ca/gtfs/Google_transit.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/barrie-transit/
basin-transit-service-bts,Basin Transit Service (BTS),Oregon,C,77.5,medium,74,2026-07-04,58,current,125,8.0.1,https://oregon-gtfs.trilliumtransit.com/gtfs_data/basin-or-us/basin-or-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/basin-transit-service-bts/
bay-area-rapid-transit-bart,Bay Area Rapid Transit (BART),California,D,62.1,medium,52,2026-07-04,34,current,53,8.0.1,http://www.bart.gov/dev/schedules/google_transit.zip,Review the rule documentation for 'missing_required_column' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/bay-area-rapid-transit-bart/
bay-area-transportation-authority,Bay Area Transportation Authority,Michigan,F,44.6,medium,20,2026-07-04,-1638,stale,223,8.0.1,https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/5109/BATA_GTFS.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/bay-area-transportation-authority/
bay-area-transportation-authority-223,Bay Area Transportation Authority,Michigan,F,44.6,medium,20,2026-07-04,-1638,stale,223,8.0.1,http://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/5109/BATA_GTFS.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/bay-area-transportation-authority-223/
bay-area-transportation-authority-2254,Bay Area Transportation Authority,Michigan,F,53.1,medium,41,2026-07-04,26843,current,2254,8.0.1,https://batabustracker.com/gtfs,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/bay-area-transportation-authority-2254/
