id,name,date,grade,score,correctness,freshness,completeness,realtime,days_until_expiry
central-community-transit,Central Community Transit,2026-07-06,B,83.6,94.0,100.0,56.0,,179
central-florida-regional-transit-authority-lynx,Central Florida Regional Transit Authority (LYNX),2026-07-06,F,55.9,72.0,55.0,47.5,39.2,33
central-ohio-transit-authority-cota,Central Ohio Transit Authority (COTA),2026-07-06,D,66.4,72.0,100.0,37.6,58.8,62
central-oregon-breeze,Central Oregon Breeze,2026-07-06,C,78.2,96.0,93.3,41.2,,56
centre-county-transit-authority-cata,CATABUS,2026-07-06,F,22.0,12.8,0.0,52.5,,-1780
centro,Centro,2026-07-06,F,47.5,33.2,85.0,37.5,,62
champaign-urbana-mass-transit-district-mtd,Champaign Urbana Mass Transit District (MTD),2026-07-06,D,66.0,48.0,55.0,100.0,,33
chapel-hill-transit-cht,Chapel Hill Transit (CHT),2026-07-06,F,41.5,55.8,0.0,54.6,,-552
chapel-hill-transit-cht-376,Chapel Hill Transit (CHT),2026-07-06,F,41.5,55.8,0.0,54.6,,-552
charles-county-vango,Charles County VanGo,2026-07-06,F,25.8,43.0,0.0,22.5,,-1775
charleston-area-regional-transportation-authority-carta,Charleston Area Regional Transportation Authority (CARTA),2026-07-06,D,61.2,81.8,66.7,65.8,13.9,40
charleston-area-regional-transportation-authority-carta-352,Charleston Area Regional Transportation Authority (CARTA),2026-07-06,D,65.1,81.8,66.7,65.8,33.3,40
charlotte-area-transit-system-cats,Charlotte Area Transit System (CATS),2026-07-06,F,44.1,74.0,0.0,37.5,,-1611
charlotte-area-transit-system-cats-2265,Charlotte Area Transit System (CATS),2026-07-06,D,69.7,84.0,85.0,37.5,,90
charm-city-circulator,Charm City Circulator,2026-07-06,F,49.6,79.5,0.0,47.5,,-1589
chatham-area-transit-cat,Chatham Area Transit (CAT),2026-07-06,F,8.7,3.5,0.0,23.0,,-1702
chatham-area-transit-cat-2080,Chatham Area Transit (CAT),2026-07-06,F,46.0,47.5,0.0,80.6,,-344
chattanooga-area-regional-transportation-authority-carta,Chattanooga Area Regional Transportation Authority (CARTA),2026-07-06,F,33.8,32.2,0.0,63.0,,-1521
chattanooga-area-regional-transportation-authority-carta-2082,Chattanooga Area Regional Transportation Authority (CARTA),2026-07-06,F,32.6,16.0,0.0,81.8,,-688
chautauqua-area-regional-transit-system-carts,Chautauqua Area Regional Transit System (CARTS),2026-07-06,F,46.3,41.5,85.0,22.2,,178
chenango-first-transit,Chenango First Transit,2026-07-06,D,61.2,75.5,85.0,22.3,,178
cherokee-area-transportation-system-cats,Cherokee Area Transportation System (CATS),2026-07-06,F,45.1,87.0,0.0,22.5,,-4570
cherriots,Cherriots,2026-07-06,F,23.8,27.5,0.0,37.5,,-185
chicago-transit-authority-cta,Chicago Transit Authority (CTA),2026-07-06,F,37.6,26.0,26.7,62.5,,25
chicago-water-taxi,Chicago Water Taxi,2026-07-06,F,48.0,77.5,0.0,45.0,,-113
chittenden-county-transportation-authority-ccta,Chittenden County Transportation Authority (CCTA),2026-07-06,B,81.2,86.0,100.0,59.5,,87
chittenden-county-transportation-authority-ccta-629,Chittenden County Transportation Authority (CCTA),2026-07-06,B,81.2,86.0,100.0,59.5,,87
cincinnati-metro,Cincinnati Metro,2026-07-06,C,77.5,65.5,66.7,85.8,99.2,40
cincinnati-metro-307,Cincinnati Metro,2026-07-06,C,77.7,65.5,66.7,85.8,99.8,40
citibus,Citibus,2026-07-06,D,67.9,82.0,53.3,59.8,,32
citibus-2304,Citibus,2026-07-06,F,48.4,76.0,0.0,48.5,,-552
citibus-569,Citibus,2026-07-06,D,67.9,82.0,53.3,59.8,,32
cities-area-transit,Cities Area Transit,2026-07-06,F,44.3,80.0,0.0,29.9,,-705
cities-area-transit-2199,Cities Area Transit,2026-07-06,C,71.1,84.0,100.0,29.9,,178
citilink,Citilink,2026-07-06,F,38.9,51.5,0.0,52.5,,-2744
citilink-2266,Citilink,2026-07-06,B,83.0,78.5,100.0,75.7,,178
citrus-county-transit,Citrus County Transit,2026-06-27,F,26.2,60.0,0.0,0.0,,
citrus-county-transit-2257,Citrus County Transit,2026-07-06,F,48.4,84.0,0.0,37.4,,-552
city-2-city-shuttle,City 2 City Shuttle,2026-07-06,F,51.1,74.0,0.0,60.0,,-3292
city-coach,City Coach,2026-07-06,F,57.0,96.0,0.0,47.9,,-6
city-coach-599,City Coach,2026-07-06,F,53.5,88.0,0.0,47.9,,-6
city-of-banning-transit,City of Banning Transit,2026-07-06,C,77.0,94.0,43.3,80.2,,26
city-of-banning-transit-220,City of Banning Transit,2026-07-06,C,77.0,94.0,43.3,80.2,,26
city-of-bell-la-campana,City of Bell (La Campana),2026-07-06,F,44.7,70.0,0.0,45.0,,-1647
city-of-bell-la-campana-2249,City of Bell (La Campana),2026-07-06,F,50.3,82.8,0.0,45.0,,-552
city-of-bell-la-campana-562,City of Bell (La Campana),2026-07-06,F,44.7,70.0,0.0,45.0,,-1647
city-of-coolidge,Cotton Express and Central Arizona Regional Transit,2026-07-06,D,64.8,87.5,0.0,85.0,,-552
city-of-corvallis,City of Corvallis,2026-07-06,F,45.3,63.8,0.0,55.6,,-1831
city-of-corvallis-136,City of Corvallis,2026-07-06,F,45.3,63.8,0.0,55.6,,-1831
city-of-corvallis-2283,City of Corvallis,2026-07-06,C,73.5,84.0,100.0,37.5,,543
city-of-douglas,City of Douglas,2026-07-06,D,69.8,88.0,0.0,100.0,,-67
city-of-ellensburg-public-transit-central-transit,City of Ellensburg Public Transit (Central Transit),2026-07-06,D,69.7,88.0,0.0,99.7,,-462
city-of-ellensburg-public-transit-central-transit-2456,City of Ellensburg Public Transit (Central Transit),2026-07-06,A,92.3,94.0,100.0,83.8,,118
city-of-ellensburg-public-transit-central-transit-303,City of Ellensburg Public Transit (Central Transit),2026-07-06,D,69.7,88.0,0.0,99.7,,-462
city-of-fountain-transit,City of Fountain Transit,2026-07-06,B,81.1,96.0,100.0,45.0,,147
city-of-fountain-transit-309,City of Fountain Transit,2026-07-06,B,81.1,96.0,100.0,45.0,,147
city-of-gadsen,COG Trolley Routes,2026-07-06,B,88.4,95.0,100.0,70.0,,953
city-of-glendale,City of Glendale,2026-07-06,F,49.1,85.5,0.0,37.5,,-1405
city-of-jackson-jtran,City of Jackson (JTRAN),2026-07-06,D,68.9,87.0,48.3,60.0,,29
city-of-las-vegas,City of Las Vegas,2026-07-06,F,51.9,86.0,0.0,45.6,,-371
