agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
transit-authority-of-river-city-tarc,Transit Authority of River City (TARC),F,16.4,2026-07-03,stale,-391,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
transit-authority-of-northern-kentucky-tank,Transit Authority of Northern Kentucky (TANK),F,30.6,2026-07-03,stale,-915,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
lextran,Lextran,F,36.5,2026-07-03,stale,-1791,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
transit-authority-of-river-city-tarc-2662,Fixed Route,D,65.2,2026-07-03,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.
blue-grass-community-action-partnership,Bluegrass Ultra-Transit Service,D,66.0,2026-07-03,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
blue-grass-community-action-partnership-362,Bluegrass Ultra-Transit Service,D,66.0,2026-07-03,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
lextran-2067,Lextran,C,71.9,2026-07-03,current,43,yes,Service data expires in 43 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
transit-authority-of-northern-kentucky-tank-2068,Transit Authority of Northern Kentucky (TANK),C,70.9,2026-07-03,current,126,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
