agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
madison-county-transit-1145,Madison County Transit,F,7.0,2026-07-06,stale,-1521,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
kansas-city-area-transportation-authority-kcata,Kansas City Area Transportation Authority (KCATA),F,28.2,2026-07-06,expiring_soon,5,yes,Service data expires in 5 day(s),Re-export with a validity window that reaches at least 60 days out.,
jeffco-express,JeffCo Express,F,43.7,2026-07-06,stale,-1922,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
jeffco-express-189,JeffCo Express,F,43.7,2026-07-06,stale,-1922,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
metro-st-louis,Metro St. Louis,C,73.8,2026-07-06,current,55,yes,Service data expires in 55 day(s),"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",
metro-st-louis-2035,Loop Trolley,C,77.1,2026-07-06,current,111,no,,"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",
