agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
sarasota-county-area-transit,Sarasota County Area Transit,F,22.6,2026-07-03,stale,-1673,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
lakeland-area-mass-transit,Lakeland Area Mass Transit,F,24.0,2026-07-03,stale,-2099,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
collier-area-transit-cat,Collier Area Transit (CAT),F,30.1,2026-07-03,stale,-2010,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
breeze-transit,Breeze Transit,F,31.7,2026-07-03,stale,-434,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
pinellas-suncoast-transit-authority-psta,Pinellas Suncoast Transit Authority (PSTA),F,34.2,2026-07-03,lapsed,-27,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
manatee-county-area-transit,Manatee County Area Transit,F,39.0,2026-07-03,stale,-2034,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
votran,Votran,F,39.2,2026-07-03,stale,-1630,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
gainesville-regional-transit-system,Gainesville Regional Transit System,F,40.9,2026-07-03,stale,-1412,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
sunshine-bus-company,Sunshine Bus Company,F,41.2,2026-07-03,stale,-1280,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
sunshine-bus-company-350,Sunshine Bus Company,F,41.2,2026-07-03,stale,-1280,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
key-west-transit,Key West Transit,F,44.7,2026-07-03,stale,-536,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
key-west-transit-322,Key West Transit,F,44.7,2026-07-03,stale,-536,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
pasco-county-public-transportation,Pasco County Public Transportation,F,45.3,2026-07-03,stale,-1098,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
pasco-county-public-transportation-340,Pasco County Public Transportation,F,45.3,2026-07-03,stale,-1098,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
escambia-county-area-transit-ecat,Escambia County Area Transit (ECAT),F,46.7,2026-07-03,stale,-1340,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
escambia-county-area-transit-ecat-335,Escambia County Area Transit (ECAT),F,46.7,2026-07-03,stale,-1340,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
gainesville-regional-transit-system-2412,Gainesville Regional Transit System,F,47.6,2026-07-03,lapsed,-320,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
gowal,GoWal,F,47.6,2026-07-03,stale,-1067,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
citrus-county-transit-2257,Citrus County Transit,F,48.4,2026-07-03,stale,-549,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
collier-area-transit-cat-2259,Collier Area Transit (CAT),F,49.2,2026-07-03,expiring_soon,15,yes,Service data expires in 15 day(s),Re-export with a validity window that reaches at least 60 days out.
lake-county-connection,Lake County Connection,F,49.6,2026-07-03,stale,-2265,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
hernando-county-transit-thebus,Hernando County Transit (TheBus),F,50.2,2026-07-03,stale,-3470,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
hernando-county-transit-thebus-341,Hernando County Transit (TheBus),F,50.2,2026-07-03,stale,-3470,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
emerald-coast-rider-ecr,Emerald Coast Rider (ECR),F,51.9,2026-07-03,stale,-3654,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
emerald-coast-rider-ecr-336,Emerald Coast Rider (ECR),F,51.9,2026-07-03,stale,-3654,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
bay-town-trolley,Bay Town Trolley,F,53.3,2026-07-03,lapsed,-215,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
bay-town-trolley-337,Bay Town Trolley,F,53.3,2026-07-03,lapsed,-215,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
suntran-343,SunTran,F,54.6,2026-07-03,stale,-701,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
starmetro,StarMetro,F,56.8,2026-07-03,stale,-670,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
starmetro-344,StarMetro,F,56.8,2026-07-03,stale,-670,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
central-florida-regional-transit-authority-lynx,Central Florida Regional Transit Authority (LYNX),F,56.9,2026-07-03,current,36,yes,Service data expires in 36 day(s),Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.
sanford-trolley,Sanford Trolley,F,57.0,2026-07-03,stale,-1645,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
hillsborough-area-regional-transit-hart,Hillsborough Area Regional Transit (HART),F,58.0,2026-07-03,current,43,yes,Service data expires in 43 day(s),Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.
manatee-county-area-transit-2258,Manatee County Area Transit,C,74.3,2026-07-03,current,336,yes,Score changed sharply on 2026-07-02,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
broward-county-transit,Broward County Transit,A,90.4,2026-07-03,current,85,yes,Service window shortened unexpectedly on 2026-07-02,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
citrus-county-transit,Citrus County Transit,F,26.2,2026-06-27,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.
lakexpress,LakeXpress,F,26.2,2026-06-27,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.
miami-dade-transit,Miami-Dade Transit,F,26.2,2026-06-27,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.
sarasota-county-area-transit-scat,Sarasota County Area Transit (SCAT),F,51.1,2026-07-03,current,1092,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
sarasota-county-area-transit-scat-348,Sarasota County Area Transit (SCAT),F,51.1,2026-07-03,current,1092,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
leetran,LeeTran,D,66.7,2026-07-03,current,138,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
palm-tran,Palm Tran,D,66.8,2026-07-03,current,78,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
south-florida-regional-transportation-authority-tri-rail,South Florida Regional Transportation Authority (Tri-Rail),D,67.4,2026-07-03,current,510,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
i-ride-trolley-i-ride,I-RIDE Trolley (I-RIDE),D,69.5,2026-07-03,current,8583,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
usf-bull-runner,USF Bull Runner,C,70.2,2026-07-03,current,1642,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
city-of-miami-beach,City of Miami Beach,C,72.0,2026-07-03,current,182,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
city-of-miami-gardens,City of Miami Gardens,C,77.2,2026-07-03,current,182,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
lake-county-connection-2255,Lake County Connection,C,77.4,2026-07-03,current,89,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
brightline-trains-llc,Brightline Trains LLC,C,79.6,2026-07-03,current,300,no,,Review the rule documentation for 'invalid_phone_number' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
florida-department-of-transportation-sunrail,Florida Department of Transportation (SunRail),A,91.9,2026-07-03,current,181,no,,Add feed_info.txt with feed_start_date and feed_end_date to your export.
gulf-islands-national-seashore,Pensacola Bay City Ferry,A,96.5,2026-07-03,current,120,no,,Check the flagged stops' coordinates and the route shape in your scheduling software; re-snap whichever is misplaced.
dry-tortugas-national-park,DRTO Ferry Service,A,99.8,2026-07-03,current,120,no,,Review the rule documentation for 'big_gap_in_service' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
