agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
minnesota-valley-transit-authority-mvta,Minnesota Valley Transit Authority (MVTA),F,48.7,2026-07-06,current,34,yes,Service data expires in 34 day(s),Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
rochester-city-lines,Rochester City Lines,F,50.8,2026-07-06,stale,-3839,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
duluth-transit,Duluth Transit,F,59.9,2026-07-06,current,54,yes,Grade slipped from D to F,"Check with your AVL vendor that every vehicle assignment flows into TripUpdates, including school-day and tripper runs.",
city-of-winona-mn-winona-transit-service,City of Winona MN - Winona Transit Service,D,61.7,2026-07-06,lapsed,-186,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
the-otter-express,Flex v2 included,D,63.4,2026-07-06,expiring_soon,26,yes,Service data expires in 26 day(s),Re-export with a validity window that reaches at least 60 days out.,
brown-county-heartland-express,Flex v2 included,D,64.3,2026-07-06,expiring_soon,26,yes,Service data expires in 26 day(s),Re-export with a validity window that reaches at least 60 days out.,
brown-county-heartland-express-2296,Fixed route + flex,D,66.0,2026-07-06,expiring_soon,26,yes,Service data expires in 26 day(s),Re-export with a validity window that reaches at least 60 days out.,
metro-transit,Metro Transit,B,81.1,2026-07-06,current,46,yes,Service data expires in 46 day(s),"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",
central-community-transit,Central Community Transit,B,83.6,2026-07-06,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
