agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
omaha-metro,Omaha Metro,F,39.3,2026-07-05,stale,-2220,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
kimball-county-transit-service,Kimball County Transit Service,F,51.9,2026-07-05,lapsed,-172,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
startran,StarTran,F,52.1,2026-07-05,stale,-2012,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
omaha-metro-2261,Omaha Metro,C,78.0,2026-07-05,current,55,yes,Service data expires in 55 day(s),"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
startran-2269,StarTran,D,68.2,2026-07-05,current,544,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
