agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
the-comet,The Comet,F,36.3,2026-07-03,stale,-1575,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
the-comet-1197,The Comet,F,36.3,2026-07-03,stale,-1575,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
clemson-area-transit-cat,Clemson Area Transit (CAT),F,46.6,2026-07-03,stale,-2394,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
clemson-area-transit-cat-798,Clemson Area Transit (CAT),F,46.6,2026-07-03,stale,-2394,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
charleston-area-regional-transportation-authority-carta,Charleston Area Regional Transportation Authority (CARTA),D,62.2,2026-07-03,current,43,yes,Service window shortened unexpectedly on 2026-06-25,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.
charleston-area-regional-transportation-authority-carta-352,Charleston Area Regional Transportation Authority (CARTA),D,66.1,2026-07-03,current,43,yes,Service data expires in 43 day(s),Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.
the-comet-2209,The Comet,B,80.7,2026-07-03,current,57,yes,Service data expires in 57 day(s),"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
