agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
thebus,TheBus,F,9.5,2026-07-04,stale,-945,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
thebus-2350,TheBus,F,41.5,2026-07-04,current,49,yes,Service data expires in 49 day(s),Re-generate shape distances in your export; flag to your vendor if it persists.
hawai-i-mass-transit-agency-hele-on-bus,Hawai'i Mass Transit Agency (Hele-On Bus),F,51.9,2026-07-04,stale,-922,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
