agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
greater-portland-metro-bus,Greater Portland Metro Bus,F,23.5,2026-07-05,stale,-1156,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
south-portland-2641,South Portland,F,37.0,2026-07-05,lapsed,-273,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
south-portland,South Portland,F,37.2,2026-07-05,stale,-1557,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
casco-bay-lines,Casco Bay Lines,F,46.6,2026-07-05,stale,-1399,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
greater-portland-metro-bus-2642,Greater Portland Metro Bus,F,51.3,2026-07-05,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
lakes-region-explorer,Lakes Region Explorer,D,62.2,2026-07-05,current,1029,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
biddeford-saco-old-orchard-beach-transit,Biddeford Saco Old Orchard Beach Transit,C,78.9,2026-07-05,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
