agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
rock-region-metro-2264,Rock Region Metro,F,36.9,2026-07-05,lapsed,-259,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
rock-region-metro,Rock Region Metro,F,39.7,2026-07-05,stale,-3839,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
jonesboro-economical-transportation-jet,Jonesboro Economical Transportation (JET),F,44.1,2026-07-05,stale,-3108,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
