agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
concord-area-transit,Flex,F,41.1,2026-07-06,lapsed,-5,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
advance-transit-at,Advance Transit (AT),F,42.3,2026-07-06,stale,-1202,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
dartmouth-college,Dartmouth College,C,76.9,2026-07-06,current,52,yes,Service window shortened unexpectedly on 2026-06-24,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
