agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
unitrans,Unitrans (ASUCD / City of Davis),B,80.8,2026-07-03,current,81,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
yolobus,Yolobus (Yolo County Transportation District),B,82.5,2026-07-03,current,66,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
