agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
mountain-rides-transportation-authority-mrta,Mountain Rides Transportation Authority (MRTA),F,41.5,2026-07-04,stale,-5664,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
mountain-rides-transportation-authority-mrta-143,Mountain Rides Transportation Authority (MRTA),F,41.5,2026-07-04,stale,-5664,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
valley-regional-transit,Valley Regional Transit,F,46.2,2026-07-04,lapsed,-278,yes,Service window shortened unexpectedly on 2026-07-04,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
pocatello-regional-transit,Pocatello Regional Transit,A,94.8,2026-07-04,current,180,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
